var_name,label,dtype,category
AXRS62E,Recieve alter mean: s62e,double,school_level
AXRS62F,Recieve alter mean: s62f,double,school_level
AXRS62G,Recieve alter mean: s62g,double,school_level
AXRS62H,Recieve alter mean: s62h,double,school_level
AXRS62I,Recieve alter mean: s62i,double,school_level
AXRS62J,Recieve alter mean: s62j,double,school_level
AXRS62K,Recieve alter mean: s62k,double,school_level
AXRS62L,Recieve alter mean: s62l,double,school_level
AXRS62M,Recieve alter mean: s62m,double,school_level
AXRS62N,Recieve alter mean: s62n,double,school_level
AXRS62O,Recieve alter mean: s62o,double,school_level
AXRS62P,Recieve alter mean: s62p,double,school_level
AXRS62Q,Recieve alter mean: s62q,double,school_level
AXRS62R,Recieve alter mean: s62r,double,school_level
AXRS63,Recieve alter mean: s63,double,school_level
AXRS64,Recieve alter mean: s64,double,school_level
NARGPA,Ego Net Denominator axrgpa,double,other
NARNACT,Ego Net Denominator axrnact,double,other
NARS1,Ego Net Denominator axrs1,double,other
NARS2,Ego Net Denominator axrs2,double,other
NARS3,Ego Net Denominator axrs3,double,other
NARS45A,Ego Net Denominator axrs45a,double,other
NARS45B,Ego Net Denominator axrs45b,double,other
NARS45C,Ego Net Denominator axrs45c,double,other
NARS45D,Ego Net Denominator axrs45d,double,other
NARS45E,Ego Net Denominator axrs45e,double,other
NARS45F,Ego Net Denominator axrs45f,double,other
NARS46A,Ego Net Denominator axrs46a,double,other
NARS46B,Ego Net Denominator axrs46b,double,other
NARS46C,Ego Net Denominator axrs46c,double,other
NARS46D,Ego Net Denominator axrs46d,double,other
NARS47,Ego Net Denominator axrs47,double,other
NARS48,Ego Net Denominator axrs48,double,other
NARS49,Ego Net Denominator axrs49,double,other
NARS50,Ego Net Denominator axrs50,double,other
NARS59A,Ego Net Denominator axrs59a,double,other
NARS59B,Ego Net Denominator axrs59b,double,other
NARS59C,Ego Net Denominator axrs59c,double,other
NARS59D,Ego Net Denominator axrs59d,double,other
NARS59E,Ego Net Denominator axrs59e,double,other
NARS59F,Ego Net Denominator axrs59f,double,other
NARS59G,Ego Net Denominator axrs59g,double,other
NARS60A,Ego Net Denominator axrs60a,double,other
NARS60B,Ego Net Denominator axrs60b,double,other
NARS60C,Ego Net Denominator axrs60c,double,other
NARS60D,Ego Net Denominator axrs60d,double,other
NARS60E,Ego Net Denominator axrs60e,double,other
NARS60F,Ego Net Denominator axrs60f,double,other
NARS60G,Ego Net Denominator axrs60g,double,other
NARS60H,Ego Net Denominator axrs60h,double,other
NARS60I,Ego Net Denominator axrs60i,double,other
NARS60J,Ego Net Denominator axrs60j,double,other
NARS60K,Ego Net Denominator axrs60k,double,other
NARS60L,Ego Net Denominator axrs60l,double,other
NARS60M,Ego Net Denominator axrs60m,double,other
NARS60N,Ego Net Denominator axrs60n,double,other
NARS60O,Ego Net Denominator axrs60o,double,other
NARS62A,Ego Net Denominator axrs62a,double,other
NARS62B,Ego Net Denominator axrs62b,double,other
NARS62C,Ego Net Denominator axrs62c,double,other
NARS62D,Ego Net Denominator axrs62d,double,other
NARS62E,Ego Net Denominator axrs62e,double,other
NARS62F,Ego Net Denominator axrs62f,double,other
NARS62G,Ego Net Denominator axrs62g,double,other
NARS62H,Ego Net Denominator axrs62h,double,other
NARS62I,Ego Net Denominator axrs62i,double,other
NARS62J,Ego Net Denominator axrs62j,double,other
NARS62K,Ego Net Denominator axrs62k,double,other
NARS62L,Ego Net Denominator axrs62l,double,other
NARS62M,Ego Net Denominator axrs62m,double,other
NARS62N,Ego Net Denominator axrs62n,double,other
NARS62O,Ego Net Denominator axrs62o,double,other
NARS62P,Ego Net Denominator axrs62p,double,other
NARS62Q,Ego Net Denominator axrs62q,double,other
NARS62R,Ego Net Denominator axrs62r,double,other
NARS63,Ego Net Denominator axrs63,double,other
NARS64,Ego Net Denominator axrs64,double,other
AXGPA,S&R alter mean: gpa,double,school_level
AXNUMACT,S&R alter mean: numact,double,school_level
AXS1,S&R alter mean: s1,double,school_level
AXS2,S&R alter mean: s2,double,school_level
AXS3,S&R alter mean: s3,double,school_level
AXS45A,S&R alter mean: s45a,double,school_level
AXS45B,S&R alter mean: s45b,double,school_level
AXS45C,S&R alter mean: s45c,double,school_level
AXS45D,S&R alter mean: s45d,double,school_level
AXS45E,S&R alter mean: s45e,double,school_level
AXS45F,S&R alter mean: s45f,double,school_level
AXS46A,S&R alter mean: s46a,double,school_level
AXS46B,S&R alter mean: s46b,double,school_level
AXS46C,S&R alter mean: s46c,double,school_level
AXS46D,S&R alter mean: s46d,double,school_level
AXS47,S&R alter mean: s47,double,school_level
AXS48,S&R alter mean: s48,double,school_level
AXS49,S&R alter mean: s49,double,school_level
AXS50,S&R alter mean: s50,double,school_level
AXS59A,S&R alter mean: s59a,double,school_level
AXS59B,S&R alter mean: s59b,double,school_level
AXS59C,S&R alter mean: s59c,double,school_level
AXS59D,S&R alter mean: s59d,double,school_level
AXS59E,S&R alter mean: s59e,double,school_level
AXS59F,S&R alter mean: s59f,double,school_level
AXS59G,S&R alter mean: s59g,double,school_level
AXS60A,S&R alter mean: s60a,double,school_level
AXS60B,S&R alter mean: s60b,double,school_level
AXS60C,S&R alter mean: s60c,double,school_level
AXS60D,S&R alter mean: s60d,double,school_level
AXS60E,S&R alter mean: s60e,double,school_level
AXS60F,S&R alter mean: s60f,double,school_level
AXS60G,S&R alter mean: s60g,double,school_level
AXS60H,S&R alter mean: s60h,double,school_level
AXS60I,S&R alter mean: s60i,double,school_level
AXS60J,S&R alter mean: s60j,double,school_level
AXS60K,S&R alter mean: s60k,double,school_level
AXS60L,S&R alter mean: s60l,double,school_level
AXS60M,S&R alter mean: s60m,double,school_level
AXS60N,S&R alter mean: s60n,double,school_level
AXS60O,S&R alter mean: s60o,double,school_level
AXS62A,S&R alter mean: s62a,double,school_level
AXS62B,S&R alter mean: s62b,double,school_level
AXS62C,S&R alter mean: s62c,double,school_level
AXS62D,S&R alter mean: s62d,double,school_level
AXS62E,S&R alter mean: s62e,double,school_level
AXS62F,S&R alter mean: s62f,double,school_level
AXS62G,S&R alter mean: s62g,double,school_level
AXS62H,S&R alter mean: s62h,double,school_level
AXS62I,S&R alter mean: s62i,double,school_level
AXS62J,S&R alter mean: s62j,double,school_level
AXS62K,S&R alter mean: s62k,double,school_level
AXS62L,S&R alter mean: s62l,double,school_level
AXS62M,S&R alter mean: s62m,double,school_level
AXS62N,S&R alter mean: s62n,double,school_level
AXS62O,S&R alter mean: s62o,double,school_level
AXS62P,S&R alter mean: s62p,double,school_level
AXS62Q,S&R alter mean: s62q,double,school_level
AXS62R,S&R alter mean: s62r,double,school_level
AXS63,S&R alter mean: s63,double,school_level
AXS64,S&R alter mean: s64,double,school_level
NAGPA,Ego Net Denominator axgpa,double,other
NANUMACT,Ego Net Denominator axnumact,double,other
NAS1,Ego Net Denominator axs1,double,other
NAS2,Ego Net Denominator axs2,double,other
NAS3,Ego Net Denominator axs3,double,other
NAS45A,Ego Net Denominator axs45a,double,other
NAS45B,Ego Net Denominator axs45b,double,other
NAS45C,Ego Net Denominator axs45c,double,other
NAS45D,Ego Net Denominator axs45d,double,other
NAS45E,Ego Net Denominator axs45e,double,other
NAS45F,Ego Net Denominator axs45f,double,other
NAS46A,Ego Net Denominator axs46a,double,other
NAS46B,Ego Net Denominator axs46b,double,other
NAS46C,Ego Net Denominator axs46c,double,other
NAS46D,Ego Net Denominator axs46d,double,other
NAS47,Ego Net Denominator axs47,double,other
NAS48,Ego Net Denominator axs48,double,other
NAS49,Ego Net Denominator axs49,double,other
NAS50,Ego Net Denominator axs50,double,other
NAS59A,Ego Net Denominator axs59a,double,other
NAS59B,Ego Net Denominator axs59b,double,other
NAS59C,Ego Net Denominator axs59c,double,other
NAS59D,Ego Net Denominator axs59d,double,other
NAS59E,Ego Net Denominator axs59e,double,other
NAS59F,Ego Net Denominator axs59f,double,other
NAS59G,Ego Net Denominator axs59g,double,other
NAS60A,Ego Net Denominator axs60a,double,other
NAS60B,Ego Net Denominator axs60b,double,other
NAS60C,Ego Net Denominator axs60c,double,other
NAS60D,Ego Net Denominator axs60d,double,other
NAS60E,Ego Net Denominator axs60e,double,other
NAS60F,Ego Net Denominator axs60f,double,other
NAS60G,Ego Net Denominator axs60g,double,other
NAS60H,Ego Net Denominator axs60h,double,other
NAS60I,Ego Net Denominator axs60i,double,other
NAS60J,Ego Net Denominator axs60j,double,other
NAS60K,Ego Net Denominator axs60k,double,other
NAS60L,Ego Net Denominator axs60l,double,other
NAS60M,Ego Net Denominator axs60m,double,other
NAS60N,Ego Net Denominator axs60n,double,other
NAS60O,Ego Net Denominator axs60o,double,other
NAS62A,Ego Net Denominator axs62a,double,other
NAS62B,Ego Net Denominator axs62b,double,other
NAS62C,Ego Net Denominator axs62c,double,other
NAS62D,Ego Net Denominator axs62d,double,other
NAS62E,Ego Net Denominator axs62e,double,other
NAS62F,Ego Net Denominator axs62f,double,other
NAS62G,Ego Net Denominator axs62g,double,other
NAS62H,Ego Net Denominator axs62h,double,other
NAS62I,Ego Net Denominator axs62i,double,other
NAS62J,Ego Net Denominator axs62j,double,other
NAS62K,Ego Net Denominator axs62k,double,other
NAS62L,Ego Net Denominator axs62l,double,other
NAS62M,Ego Net Denominator axs62m,double,other
NAS62N,Ego Net Denominator axs62n,double,other
NAS62O,Ego Net Denominator axs62o,double,other
NAS62P,Ego Net Denominator axs62p,double,other
NAS62Q,Ego Net Denominator axs62q,double,other
NAS62R,Ego Net Denominator axs62r,double,other
NAS63,Ego Net Denominator axs63,double,other
NAS64,Ego Net Denominator axs64,double,other
DENX2,Total Network Density: TFN,double,local_structure
RCHDEN,Density at maximum Reach,double,centrality
RELDEN,Density/Max Pos. Den,double,local_structure
PCTMUT,PCT dyads mutual,double,other
PCTASY,Pct dyads Asysmetric,double,other
RHO2,Katz and Powells Mutuality index,double,other
SEG1S3,Freeman Seg Index: Grade,double,other
SS37,Saliency Index: Grade=7,double,other
SS38,Saliency Index: Grade=8,double,other
SS39,Saliency Index: Grade=9,double,other
SS310,Saliency Index: Grade=10,double,other
SS311,Saliency Index: Grade=11,double,other
SS312,Saliency Index: Grade=12,double,other
SEG1RCE5,Freeman Seg Index: Race/Ethnic(5),double,other
SRCE51,Saliency Index: Race(5)=White,double,other
SRCE52,Saliency Index: Race(5)=Black,double,other
SRCE53,Saliency Index: Race(5)=Hispanic,double,other
SRCE54,Saliency Index: race(5)=Asian,double,other
SRCE55,Saliency Index: Race(5)=Other,double,other
SEG1S2,Freeman Seg Index: Gender (1=Fem),double,other
SS20,Saliency Index: Gender=Male,double,other
SS21,Saliency Index: Gender=Female,double,other
